,,,,Website,,
,I PAVIA01,UNIVERSITA DEGLI STUDI DI PAVIA,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://portale.unipv.it/it/internazionale/andare-allestero/opportunita-di-mobilita-allestero/studiare-allestero/erasmus-studio,portale.unipv.it,https://www.google.com/s2/favicons?domain=portale.unipv.it&sz=256
,,,HISTORY ,,,
,I PISA01,UNIVERSITA DI PISA,MEDICINE,https://erasmusmobility.unipi.it/erasmus/welcome/,erasmusmobility.unipi.it,https://www.google.com/s2/favicons?domain=erasmusmobility.unipi.it&sz=256
,I ROMA02,UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,BANKING AND INSURANCE,https://web.uniroma2.it/en/percorso/international/sezione/erasmus_,web.uniroma2.it,https://www.google.com/s2/favicons?domain=web.uniroma2.it&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,I ROMA14,UNIVERSITA CAMPUS BIO MEDICO DI ROMA,NUTRITION AND DIETETICS ,https://www.unicampus.it/servizi/internazionale/mobilita-internazionale-per-gli-studenti/costruiamo-leuropa/,unicampus.it,https://www.google.com/s2/favicons?domain=unicampus.it&sz=256
,,,MEDICINE,,,
,,,FOOD ENGINEERING,,,
,,,FOOD SAFETY,,,
,,,FOOD TECHNOLOGY,,,
,I ROMA16,UNIVERSITA DEGLI STUDI ROMA TRE,INTERNATIONAL TRADE AND FINANCE,https://portalestudente.uniroma3.it/en/international-mobility/programma-erasmus-incoming-students-eng/,portalestudente.uniroma3.it,https://www.google.com/s2/favicons?domain=portalestudente.uniroma3.it&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,I ROMA21,UNIVERSITA DEGLI STUDI GUGLIELMO MARCONI - TELEMATICA,COMPUTER TECHNOLOGIES,https://www.unimarconi.it/programma-erasmus/,unimarconi.it,https://www.google.com/s2/favicons?domain=unimarconi.it&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,CIVIL ENGINEERING,,,
,,,CIVIL TECHNOLOGY,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,FOREIGN TRADE,,,
,,,ECONOMY AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL ECONOMICS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,I SALERNO01,UNIVERSITA DEGLI STUDI DI SALERNO,MATHEMETICS-COMPUTER,Incoming Mobility | Students Opportunities,Incoming Mobility | Students Opportunities,https://www.google.com/s2/favicons?domain=Incoming Mobility | Students Opportunities&sz=256
,,,PRIMARY MATHEMATICS EDUCATION,,,
,I ROMA 01,,,,,
,I SASSARI01,UNIVERSITA DEGLI STUDI DI SASSARI,ARCHITECTURE,https://www.uniss.it/it/internazionale/erasmus,uniss.it,https://www.google.com/s2/favicons?domain=uniss.it&sz=256
,I SIENA02,UNIVERSITA PER STRANIERI DI SIENA,ENGLISH LANGUAGE and LITERATURE,https://www.unistrasi.it/1/160/676/ERASMUS_for_studies_incoming_students.htm ,unistrasi.it,https://www.google.com/s2/favicons?domain=unistrasi.it&sz=256
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,TRANSLATION - INTERPRETING (ENGLISH),,,
,,,TRANSLATION - INTERPRETING (ARABIC),,,
,,,ARABIC LANGUAGE TEACHING EDUCATION,,,
,I TRENTO01,UNIVERSITA DEGLI STUDI DI TRENTO,COMPUTER ENGINEERING,https://www.unitn.it/it/internazionale/andare-allestero/studio/erasmus-studio-di-lunga-durata,unitn.it,https://www.google.com/s2/favicons?domain=unitn.it&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
LATVIA,LV DAUGAVP01,DAUGAVPILS UNIVERSITATE,ENGLISH LANGUAGE TEACHER EDUCATION,https://du.lv/en/international-cooperation/erasmus-mobility/,du.lv,https://www.google.com/s2/favicons?domain=du.lv&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,TRANSLATION AND INTERPRETING (TURKISH - RUSSIAN),,,
,,,TRANSLATION AND INTERPRETING (TURKISH - ENGLISH),,,
,,,SPORTS MANAGEMENT,,,
,,,APPLIED RUSSIAN-TURKISH TRANSLATION,,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,LV LIEPAJA01,LIEPAJAS UNIVERSITATE,COMPUTER ENGINEERING,https://www.rtu.lv/en/liepaja/studies-6/erasmus--,rtu.lv,https://www.google.com/s2/favicons?domain=rtu.lv&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,APPLIED RUSSIAN-TURKISH TRANSLATION,,,
,,,TRANSLATION AND INTERPRETING (TURKISH - RUSSIAN),,,
,,,TRANSLATION AND INTERPRETING (TURKISH - ENGLISH),,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,LV RIGA08,LATVIJAS KULTURAS AKADEMIJA,INTERNATIONAL TRADE AND FINANCE,https://lka.edu.lv/en/international-cooperation/international-mobility/erasmus/,lka.edu.lv,https://www.google.com/s2/favicons?domain=lka.edu.lv&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,LV RIGA28,BALTIJAS STARPTAUTISKA AKADEMIJA,LAW,https://bsa.edu.lv/index.php/en/international/erasmus.html,bsa.edu.lv,https://www.google.com/s2/favicons?domain=bsa.edu.lv&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,JOURNALISM,,,
,,,SOCIOLOGY,,,
,,,TRANSLATION AND INTERPRETING (TURKISH - ENGLISH),,,
,,,TRANSLATION AND INTERPRETING (TURKISH - RUSSIAN),,,
,,,FASHION DESIGN,,,
,,,BANKING and INSURANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,LV RIGA31,AKCIJU SABIEDRIBA TRANSPORTA UN SAKARU INSTITUTS,ELECTRICAL and ELECTRONICS ENGINEERING,https://tsi.lv/,tsi.lv,https://www.google.com/s2/favicons?domain=tsi.lv&sz=256
,,,MECHANICAL ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,AVIATION MANAGEMENT,,,
,LV RIGA32,INFORMACIJAS SISTEMU MENEDZMENTA AUGSTSKOLA SIA,BUSINESS MANAGEMENT,https://rnu.lv/,rnu.lv,https://www.google.com/s2/favicons?domain=rnu.lv&sz=256
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
LITHUANIA,LT KAUNAS01,VYTAUTO DIDZIOJO UNIVERSITETAS,ENGLISH LANGUAGE TEACHER EDUCATION,https://www.vdu.lt/en/international-cooperation/for-students/erasmus-exchange-studies/,vdu.lt,https://www.google.com/s2/favicons?domain=vdu.lt&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,POLITICAL SCIENCE AND INTERNATIONAL RELATIONS,,,
,,,ELEMENTARY EDUCATION,,,
,LT KAUNAS02,KAUNO TECHNOLOGIJOS UNIVERSITETAS,INTERNATIONAL TRADE AND FINANCE,https://ktu.edu/erasmus/,ktu.edu,https://www.google.com/s2/favicons?domain=ktu.edu&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,AEROSPACE ENGINEERING,,,
,,,MECHANICAL ENGINEERING,,,
,,,TEXTILE and FASHION DESIGN / TEXTILE TECHNOLOGIES,,,
,,,INDUSTRIAL DESIGN,,,
,,,INDUSTRIAL ENGINEERING,,,
,LT KAUNAS08,KAUNO KOLEGIJA,"TOURISM, CATERING, HOTEL MANAGEMENT",https://www.kaunokolegija.lt/en/international-kk-erasmus/,kaunokolegija.lt,https://www.google.com/s2/favicons?domain=kaunokolegija.lt&sz=256
,,,FASHION DESIGN,,,
,,,INTERIOR DESIGN,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,GRAPHIC DESIGN,,,
,,,ADVERTISEMENT,,,
,,,ART AND CULTURE MANAGEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,,,FOOD ENGINEERING,,,
,,,FOOD SAFETY,,,
,,,NURSING,,,
,,,PHYSIOTHERAPY AND REHABILITATION,,,
,,,NUTRITION AND DIETETICS,,,
,,,PHARMACY SERVICES,,,
,,,ORAL AND DENTAL HEALTH,,,
,,,OCCUPATIONAL THERAPY,,,
,,,FIRST AND EMERGENCY AID TECHNICIAN,,,
,,,RADIOLOGY,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER ENGINEERING,,,
,LT KAUNAS14, SV.IGNACO LOJOLOS KOLEGIA,ORTHOPEDIC PROSTHETICS AND ORTHOTICS,https://www.ilk.lt/en/erasmus/,ilk.lt,https://www.google.com/s2/favicons?domain=ilk.lt&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,FASHION DESIGN,,,
,,,INTERIOR DESIGN,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,GRAPHIC DESIGN,,,
,,,SOCIAL WORK,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,,,GASTRONOMY AND CULINARY ARTS,,,
,,,FOOD ENGINEERING,,,
,,,FOOD TECHNOLOGY,,,
,,,"TOURISM, CATERING, HOTEL MANAGEMENT",,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,LT SIAULIA 01,"Vilnius University Šiauliai Academy
",,https://www.sa.vu.lt/en/about/exchange-programmes,sa.vu.lt,https://www.google.com/s2/favicons?domain=sa.vu.lt&sz=256
,,,,,,
,,,,,,
,LT KLAIPED01,KLAIPEDOS UNIVERSITETAS,FOREIGN TRADE,https://www.ku.lt/en/studies-admission/erasmus-mobility,ku.lt,https://www.google.com/s2/favicons?domain=ku.lt&sz=256
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,LT KLAIPED04,VIESOJI ISTAIGA SOCIALINIU MOKSLU KOLEGIJA,BUSINESS MANAGEMENT,https://www.smk.lt/lt/erasmus/,smk.lt,https://www.google.com/s2/favicons?domain=smk.lt&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,JOURNALISM,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,TELEVISION AND FILM,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,ADVERTISEMENT,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,PUBLIC RELATIONS and PUBLICITY,,,
,LT VILNIUS01,VILNIAUS UNIVERSITETAS (KAUNAS FACULTY & SIAULIAI ACADEMY),BUSINESS MANAGEMENT,https://www.sa.vu.lt/en/about/exchange-programmes,sa.vu.lt,https://www.google.com/s2/favicons?domain=sa.vu.lt&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,FOREIGN TRADE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,COMPUTER PROGRAMMING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,TRANSLATION AND INTERPRETING (TURKISH - ENGLISH),,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,GRAPHIC DESIGN,,,
,,,ADVERTISEMENT,,,
,,,ART AND CULTURE MANAGEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,RADIO TELEVISION and CINEMA,,,
,LT VILNIUS06,MYKOLO ROMERIO UNIVERSITETAS,BUSINESS MANAGEMENT,https://www.mruni.eu/en/university/internationalization/erasmus-and-exchange-studies-incoming/,mruni.eu,https://www.google.com/s2/favicons?domain=mruni.eu&sz=256
,,,ECONOMICS and FINANCE,,,
,,,GRAPHIC DESIGN,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,FOREIGN TRADE,,,
,,,GAME DESIGN,,,
,,,CARTOON AND ANIMATION,,,
,LT VILNIUS10,VILNIUS KOLEGIJA,ACCOUNTING and FINANCIAL MANAGEMENT,https://www.viko.lt/studentams/erasmus-d-u-k/,viko.lt,https://www.google.com/s2/favicons?domain=viko.lt&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,GRAPHIC DESIGN,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,ART AND CULTURE MANAGEMENT,,,
,,,DIGITAL GAME DESIGN,,,
,,,TEXTILE and FASHION DESIGN,,,
,LT VILNIUS 14,VILNIAUS TECHNOLOGIJU IR DIZAINO KOLEGJIA,,https://vtdko.lt/tarptautiniai-rysiai/erasmus-studentams/,vtdko.lt,https://www.google.com/s2/favicons?domain=vtdko.lt&sz=256
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,LT VILNIUS20,VIESOJI ISTAIGA EUROPOS HUMANITARINIS UNIVERSITETAS,JOURNALISM,https://en.ehuniversity.lt/international/erasmus/,en.ehuniversity.lt,https://www.google.com/s2/favicons?domain=en.ehuniversity.lt&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,LT VILNIUS24,"KAZIMIERO SIMONAVICIAUS UNIVERSITETAS, UAB",LAW,https://ksu.lt/en/erasmus-students-2/,ksu.lt,https://www.google.com/s2/favicons?domain=ksu.lt&sz=256
,,,VISUAL COMMUNICATION DESIGN,,,
,,,GRAPHIC DESIGN,,,
,,,AVIATION MANAGEMENT,,,
,,,BUSINESS MANAGEMENT,,,
,,,FASHION DESIGN,,,
,,,TEXTILE and FASHION DESIGN,,,
,,,AVIATION GROUND SERVICES,,,
,,,CIVIL AVIATION CABIN SERVICES,,,
,,,CIVIL AVIATION MANAGEMENT,,,
,,,TOURISM GUIDANCE,,,
NETHERLANDS,NL EDE01,"CHRISTELIJKE HOGESCHOOL EDE, EDE CHRISTIAN OF APPLIED SCIENCES ",POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://www.che.nl/en/erasmus-policy-strategy,che.nl,https://www.google.com/s2/favicons?domain=che.nl&sz=256
,,,JOURNALISM,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,ADVERTISEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,PUBLIC RELATIONS and PUBLICITY,,,
,NL EINDHOV03,STICHTING FONTYS,COMPUTER ENGINEERING,https://www.fontys.nl/en/Study-at-Fontys/Exchange-programmes.htm,fontys.nl,https://www.google.com/s2/favicons?domain=fontys.nl&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,NL GRONING03,STICHTING HANZEHOGESCHOOL GRONINGEN,INTERNATIONAL TRADE AND FINANCE,https://www.hanze.nl/nl,hanze.nl,https://www.google.com/s2/favicons?domain=hanze.nl&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,NL ROTTERD 03,STITCHING HOGESCHOOL ROTTERDAM,,https://www.rotterdamuas.com/collaboration/Erasmus/,rotterdamuas.com,https://www.google.com/s2/favicons?domain=rotterdamuas.com&sz=256
,NL VLISSIN01,STICHTING HZ UNIVERSITY OF APPLIED SCIENCES,BUSINESS MANAGEMENT,https://hz.nl/en/erasmus,hz.nl,https://www.google.com/s2/favicons?domain=hz.nl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,CIVIL ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,COMPUTER ENGINEERING,,,
NORTH MACEDONIA,MK SKOPJE04,INTERNATIONAL BALKAN UNIVERSITY,BUSINESS MANAGEMENT,https://www.ibu.edu.mk/pages/international/erasmus-office,ibu.edu.mk,https://www.google.com/s2/favicons?domain=ibu.edu.mk&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,CIVIL ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,TURKISH LANGUAGE TEACHER EDUCATION,,,
,,,DENTISTRY,,,
,,,PUBLIC RELATIONS and PUBLICITY (ONLY FOR STAFF),,,
,,,ADVERTISEMENT (ONLY FOR STAFF),,,
,,,TV NEWS AND TV PROGRAM MAKING (ONLY FOR STAFF),,,
,,,NEW MEDIA AND COMMUNICATION (ONLY FOR STAFF),,,
,MK SKOPJE19,"MEGJUNARODEN SLAVJANSKI UNIVERZITET ""GAVRILO ROMANOVICH DERZHAVIN"" SVETI NIKOLE",BUSINESS MANAGEMENT,https://msu.edu.mk/international/erasmus/students/?lang=en,msu.edu.mk,https://www.google.com/s2/favicons?domain=msu.edu.mk&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,,,PSYCHOLOGY,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,MK TETOVO01,UNIVERZITET VO TETOVO,MEDICINE,https://unite.edu.mk/mk/erasmus/,unite.edu.mk,https://www.google.com/s2/favicons?domain=unite.edu.mk&sz=256
,,,PHYSICAL EDUCATION AND SPORTS EDUCATION,,,
,,,PHYSIOTHERAPY AND REHABILITATION,,,
,,,FOREIGN TRADE,,,
,,,FOOD TECHNOLOGY,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION and INTERPRETING (English),,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,PSYCHOLOGY,,,
,,,FOOD ENGINEERING,,,
,,,FOOD SAFETY,,,
,,,TURKISH LANGUAGE and LITERATURE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,DENTISTRY,,,
,MK TETOVO02,SOUTH EAST EUROPEAN UNIVERSITY TETOVO,ARCHITECTURE,https://www.seeu.edu.mk/en/current-students/international-relation/erasmus,seeu.edu.mk,https://www.google.com/s2/favicons?domain=seeu.edu.mk&sz=256
NORWAY,N ELVERUM02,HOGSKOLEN I INNLANDET,BUSINESS MANAGEMENT,https://www.inn.no/english/for-students/outgoing-exchange-students/erasmus/,inn.no,https://www.google.com/s2/favicons?domain=inn.no&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,N OSLO58,HØYSKOLEN KRISTIANIA – ERNST G. MORTENSENS STIFTELSE (KRISTIANIA UNIVERSITY OF APPLIED SCIENCES ),COMPUTER ENGINEERING,https://www.kristiania.no/en/for-students/outgoing-exchange-students/overview-of-exchange-through-erasmus/,kristiania.no,https://www.google.com/s2/favicons?domain=kristiania.no&sz=256
,,,JOURNALISM,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,ADVERTISEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,PUBLIC RELATIONS and PUBLICITY,,,
,,,ECONOMICS AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
POLAND,PL BIALA01,PANSTWOWA SZKOLA WYZSZA IM PAPIEZA JANA PAWLA II W BIALEJ PODLASKIEJ,ENGLISH LANGUAGE and LITERATURE,https://international.akademiabialska.pl/en/o-programie/erasmus-incoming,international.akademiabialska.pl,https://www.google.com/s2/favicons?domain=international.akademiabialska.pl&sz=256
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,TRANSLATION AND INTERPRETING (TURKISH - ENGLISH),,,
,,,SOCIOLOGY,,,
,,,COMPUTER PROGRAMMING,,,
,,,INFORMATION SECURITY TECHNOLOGY,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARER DEVELOPMENT,,,
,,,MECHANICAL ENGINEERING,,,
,,,CIVIL ENGINEERING,,,
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,NUTRITION AND DIETETICS (FOR STAFF ONLY),,,
,,,PRESCHOOL TEACHER EDUCATION,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,PL BIALYST01,POLITECHNIKA BIALOSTOCKA,BUSINESS MANAGEMENT,https://pb.edu.pl/iros/en/erasmus/students/,pb.edu.pl,https://www.google.com/s2/favicons?domain=pb.edu.pl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,ECONOMICS and FINANCE,,,
,,,COMPUTER ENGINEERING,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,CIVIL ENGINEERING,,,
,,,MECHANICAL ENGINEERING,,,
,,,ARCHITECTURE,,,
,,,SOFTWARE DEVELOPMENT,,,
,PL BIALYST04,UNIWERSYTET W BIALYMSTOKU,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://uwb.edu.pl/en/exchange-students/erasmus-4669/information-about-the-erasmus-programme/erasmusis-a-programme-fo-1.html,uwb.edu.pl,https://www.google.com/s2/favicons?domain=uwb.edu.pl&sz=256
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,SPECIAL EDUCATION,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,PL BYDGOSZ08,AKADEMIJA KUJAVSKO-POMORSKA,LAW,https://akp.bydgoszcz.pl/student/erasmus,akp.bydgoszcz.pl,https://www.google.com/s2/favicons?domain=akp.bydgoszcz.pl&sz=256
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,PRESCHOOL TEACHER EDUCATION,,,
,,,CIVIL ENGINEERING,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,JOURNALISM,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,ADVERTISEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,PUBLIC RELATIONS and PUBLICITY,,,
,,,ECONOMICS AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,PL CZESTOC01,POLITECHNIKA CZESTOCHOWSKA,SOFTWARE DEVELOPMENT,https://pcz.pl/en/erasmus,pcz.pl,https://www.google.com/s2/favicons?domain=pcz.pl&sz=256
,,,SOFTWARE ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,MECHANICAL ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,CIVIL ENGINEERING,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,PL CZESTOC02,UNIWERSYTET HUMANISTYCZNO-PRZYRODNICZY IM. JANA DLUGOSZA W CZESTOCHOWIE,COMPUTER ENGINEERING,https://www.ujd.edu.pl/pl/artykuly/302/erasmus,ujd.edu.pl,https://www.google.com/s2/favicons?domain=ujd.edu.pl&sz=256
,,,SOFTWARE DEVELOPMENT,,,
,,,SOFTWARE ENGINEERING,,,
,,,NUTRITION AND DIETETICS (FOR STAFF ONLY),,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,BUSINESS MANAGEMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,FOREIGN TRADE,,,
,,,ECONOMICS and FINANCE,,,
